,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
RP11-439C8.2,3.0,3.0,3.0,0.0,0.0
C6orf25,3.0,3.0,3.0,0.0,0.0
CH17-232I21.1,3.0,3.0,3.0,0.0,0.0
TMEM45B,3.0,3.0,3.0,0.0,0.0
NEU2,3.0,3.0,3.0,0.0,0.0
RNF223,3.0,3.0,3.0,0.0,0.0
CH507-42P11.2,3.0,3.0,3.0,0.0,0.0
RP11-689K5.3,3.0,3.0,3.0,0.0,0.0
RP11-77H9.5,3.0,3.0,3.0,0.0,0.0
SLC6A11,3.0,3.0,3.0,0.0,0.0
TBC1D3D,3.0,3.0,3.0,0.0,0.0
MAL2,3.0,3.0,3.0,0.0,0.0
CTD-2396E7.9,3.0,3.0,3.0,0.0,0.0
RP11-380M21.2,3.0,3.0,3.0,0.0,0.0
AC073850.6,3.0,3.0,3.0,0.0,0.0
AC145110.1,3.0,3.0,3.0,0.0,0.0
IGHV1-58,3.0,3.0,3.0,0.0,0.0
RP5-882O7.1,3.0,3.0,3.0,0.0,0.0
APOC3,3.0,3.0,3.0,0.0,0.0
BIVM-ERCC5,3.0,3.0,3.0,0.0,0.0
HLA-DQB1-AS1,3.0,3.0,3.0,0.0,0.0
